id,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,label
1,0.00498132,0.010869565,0.000194463,0.002594075,0.367088608,0.634328358,0.00026847,0.000212057,0.000346876,0.001557147,0
2,0.00622665,0.010869565,0.000243079,0.002160177,0.397679325,0.873134328,0.000524828,0.000333232,0.000650392,0.001245718,0
3,0.00622665,0.030797101,0.000701457,0.005573629,0.247890295,0.723880597,0.00069237,0.000727052,0.001582622,0.001868577,0
4,0.00498132,0.010869565,0.000194463,0.002594075,0.33649789,0.726012793,0.000672184,0.000181763,0.000411915,0.000622859,0
5,0.00622665,0.003623188,7.64E-05,0.000918075,0.47257384,0.940298507,0.000252321,6.06E-05,0.000216797,0.000934288,0
6,0.00498132,0.012681159,0.000229189,0.002966519,0.525316456,1,0.000290674,0.000454408,0.000715432,0.002491436,0
7,0.00622665,0.005434783,0.000118067,0.001229066,0.385021097,0.68869936,0.000302786,9.09E-05,0.000216797,0.000934288,0
8,0.00498132,0.009057971,0.000159738,0.00222163,0.296413502,0.28891258,0.001816714,9.09E-05,6.50E-05,0,0
9,0.00498132,0.007246377,0.000125012,0.001849186,0.367088608,0.488272921,0.001816714,9.09E-05,0.000130078,0,0
10,0.00498132,0.010869565,0.000194463,0.002594075,0.457805907,0.908315565,0.001513928,0.000302939,0.000541994,0.000311429,0
11,0.00498132,0.001811594,2.08E-05,0.000731853,0.789029536,1,0.001413,3.03E-05,6.50E-05,0,0
12,0.00498132,0.003623188,5.56E-05,0.001104297,0.507383966,0.715351812,0.001413,3.03E-05,8.67E-05,0,0
13,0.00498132,0.009057971,0.000159738,0.00222163,0.401898734,0.715351812,0.002422285,0.000181763,0.000325196,0,0
14,0.00498132,0.010869565,0.000194463,0.002594075,0.397679325,0.847547974,0.000807428,0.000242351,0.000498634,0.000622859,0
15,0.00622665,0.010869565,0.000243079,0.002160177,0.372362869,0.873134328,0.000656036,0.000302939,0.000650392,0.000934288,0
16,0.00498132,0.012681159,0.000229189,0.002966519,0.3407173,0.440298507,0.002825999,0.000242351,0.000260157,0,0
