,0
0,0
1,0
2,1
3,0
4,0
5,1
6,0
7,0
8,0
9,0
10,1
11,1
12,0
13,0
14,1
15,0
16,0
17,0
18,1
19,0
20,1
21,1
22,1
23,0
24,0
25,1
26,1
27,0
28,0
29,0
30,0
31,1
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,1
43,1
44,0
45,1
46,1
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,1
55,0
56,0
57,0
58,0
59,1
60,0
61,0
62,0
63,0
64,0
65,1
66,0
67,1
68,0
69,1
70,1
71,0
72,0
73,0
74,0
75,0
76,1
77,1
78,0
79,0
80,1
81,0
82,0
83,0
84,1
85,1
86,0
87,1
88,1
89,1
90,1
91,1
92,0
93,0
94,0
95,1
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,1
106,0
107,0
108,1
109,0
110,0
111,0
112,0
113,1
114,1
115,0
116,1
117,0
118,0
119,0
120,0
121,1
122,1
123,0
124,1
125,0
126,1
127,0
128,1
129,0
130,0
131,1
132,1
133,1
134,0
135,0
136,0
137,0
138,0
139,1
140,1
141,1
142,0
143,1
144,1
145,0
146,0
147,1
148,0
149,0
150,1
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,1
161,0
162,0
163,0
164,0
165,0
166,0
167,1
168,0
169,0
170,0
171,0
172,0
173,1
174,0
175,0
176,0
177,0
178,1
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,1
187,0
188,0
189,0
190,0
191,1
192,0
193,0
194,0
195,0
196,0
197,0
198,1
199,1
200,0
201,1
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,1
211,0
212,0
213,0
214,1
215,0
216,1
217,0
218,0
219,0
220,0
221,1
222,0
223,1
224,1
225,0
226,0
227,0
228,0
229,0
230,1
231,0
232,1
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,1
243,1
244,1
245,0
246,0
247,0
248,0
249,0
250,0
251,1
252,0
253,1
254,0
255,0
256,1
257,1
258,0
259,0
260,0
261,0
262,1
263,0
264,0
265,1
266,0
267,0
268,1
269,0
270,0
271,1
272,1
273,0
274,1
275,0
276,0
277,0
278,1
279,0
280,0
281,0
282,0
283,1
284,0
285,1
286,1
287,0
288,0
289,0
290,0
291,0
292,0
293,1
294,1
295,0
296,0
297,0
298,0
299,0
300,1
301,0
302,0
303,0
304,1
305,1
306,1
307,0
308,0
309,0
310,1
311,1
312,0
313,0
314,1
315,0
316,0
317,1
318,1
319,0
320,0
321,0
322,1
323,1
324,0
325,1
326,0
327,0
328,1
329,1
330,0
331,1
332,0
333,0
334,0
335,1
336,0
337,0
338,0
339,0
340,1
341,1
342,0
343,1
344,0
345,1
346,0
347,0
348,0
349,0
350,1
351,1
352,0
353,1
354,0
355,0
356,0
357,0
358,1
359,0
360,0
361,0
362,0
363,0
364,1
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,1
378,1
379,0
380,0
381,1
382,0
383,1
384,1
385,0
386,0
387,0
388,0
389,1
390,1
391,0
392,0
393,0
394,0
395,1
396,1
397,0
398,1
399,1
400,0
401,1
402,0
403,1
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,1
413,0
414,0
415,1
416,0
417,0
418,0
419,1
420,0
421,0
422,0
423,1
424,0
425,1
426,1
427,0
428,0
429,0
430,1
431,1
432,0
433,0
434,0
435,0
436,0
437,1
438,1
439,0
440,1
441,1
442,1
443,1
444,1
445,0
446,0
447,0
448,1
449,0
450,0
451,1
452,0
453,0
454,1
455,0
456,0
457,0
458,0
459,1
460,0
461,0
462,1
463,0
464,0
465,1
466,0
467,1
468,1
469,1
470,1
471,0
472,0
473,0
474,1
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,1
489,0
490,1
491,0
492,0
493,1
494,0
495,0
496,0
497,1
498,0
499,1
