,0
0,0
1,0
2,1
3,0
4,0
5,0
6,0
7,0
8,1
9,0
10,0
11,0
12,0
13,0
14,1
15,0
16,0
17,1
18,0
19,0
20,0
21,1
22,1
23,0
24,0
25,1
26,0
27,0
28,1
29,0
30,0
31,1
32,0
33,0
34,0
35,0
36,1
37,0
38,0
39,0
40,0
41,1
42,1
43,0
44,0
45,0
46,0
47,1
48,1
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,1
66,0
67,0
68,1
69,0
70,1
71,0
72,0
73,0
74,0
75,1
76,0
77,0
78,0
79,0
80,0
81,1
82,1
83,0
84,0
85,1
86,0
87,0
88,0
89,0
90,0
91,1
92,1
93,1
94,1
95,0
96,0
97,0
98,0
99,0
100,1
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,1
111,0
112,0
113,0
114,1
115,0
116,0
117,0
118,1
119,0
120,0
121,0
122,1
123,0
124,0
125,0
126,0
127,0
128,0
129,1
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,1
139,0
140,0
141,0
142,1
143,0
144,1
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,1
156,1
157,0
158,0
159,1
160,0
161,1
162,0
163,0
164,1
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,1
177,0
178,0
179,0
180,1
181,0
182,0
183,0
184,0
185,0
186,0
187,1
188,1
189,0
190,1
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,1
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,1
210,0
211,0
212,1
213,0
214,0
215,0
216,0
217,0
218,1
219,0
220,1
221,0
222,1
223,0
224,0
225,0
226,0
227,0
228,0
229,1
230,1
231,0
232,0
233,0
234,1
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,1
248,0
249,1
250,0
251,1
252,1
253,1
254,1
255,1
256,0
257,0
258,0
259,0
260,0
261,1
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,1
274,0
275,0
276,0
277,0
278,0
279,0
280,1
281,1
282,0
283,0
284,0
285,1
286,0
287,0
288,0
289,0
290,1
291,0
292,1
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,1
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,1
327,0
328,0
329,1
330,0
331,0
332,1
333,0
334,0
335,0
336,0
337,0
338,1
339,0
340,0
341,0
342,1
343,0
344,0
345,1
346,0
347,1
348,0
349,0
350,0
351,0
352,1
353,0
354,0
355,0
356,0
357,1
358,1
359,1
360,1
361,0
362,0
363,0
364,1
365,0
366,0
367,0
368,0
369,0
370,1
371,0
372,1
373,0
374,0
375,0
376,1
377,0
378,1
379,0
380,0
381,0
382,1
383,0
384,1
385,0
386,0
387,0
388,1
389,1
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,1
406,1
407,1
408,1
409,0
410,1
411,1
412,0
413,0
414,1
415,0
416,0
417,1
418,1
419,1
420,1
421,0
422,0
423,0
424,1
425,0
426,1
427,1
428,1
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,1
443,1
444,0
445,0
446,1
447,0
448,0
449,0
450,0
451,0
452,0
453,1
454,0
455,0
456,1
457,0
458,1
459,1
460,0
461,1
462,0
463,0
464,0
465,1
466,0
467,1
468,0
469,0
470,1
471,0
472,1
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,1
482,0
483,0
484,1
485,0
486,1
487,1
488,1
489,0
490,0
491,1
492,1
493,1
494,0
495,0
496,0
497,1
498,1
499,1
500,0
501,0
502,1
503,1
504,0
505,0
506,0
507,0
508,1
509,0
510,1
511,0
512,0
513,1
514,1
515,0
516,1
517,0
518,0
519,0
520,0
521,0
522,1
523,1
524,0
525,0
526,0
527,0
528,0
529,1
530,0
531,1
532,1
